source,target,type
3cc3806c-c2bb-41d7-9319-981fabca3399,de9a5376-a45b-4255-8e82-031ce6728e87,Undirected
16a45c0e-9bb9-4161-8d03-45dc3ffdb459,de9a5376-a45b-4255-8e82-031ce6728e87,Undirected
2a3e8a48-e484-4f7b-83c7-c221b45c1d76,de9a5376-a45b-4255-8e82-031ce6728e87,Undirected
60535489-7d75-4686-a578-a42ca0cd1e49,710f21dc-4237-4459-90fd-b117a71d347f,Undirected
56bf2435-46b8-4641-92bf-4fa25d6f325c,710f21dc-4237-4459-90fd-b117a71d347f,Undirected
01ea95f9-0747-466e-a0ee-637826e2e96d,710f21dc-4237-4459-90fd-b117a71d347f,Undirected
710f21dc-4237-4459-90fd-b117a71d347f,f43ef43d-b2ca-46a5-83ed-8efadefc3532,Undirected
17034ccb-6f4f-4443-b5aa-7eb38913629e,710f21dc-4237-4459-90fd-b117a71d347f,Undirected
37802ece-2b2a-4042-a0a6-1b882be6cf7a,710f21dc-4237-4459-90fd-b117a71d347f,Undirected
4177446c-1494-4e7e-b410-5572c5241bd9,710f21dc-4237-4459-90fd-b117a71d347f,Undirected
286070ac-553b-4af9-91fe-5d88a4d20b75,710f21dc-4237-4459-90fd-b117a71d347f,Undirected
710f21dc-4237-4459-90fd-b117a71d347f,752d46d5-236d-4d49-8aa0-b6d5bc8fe796,Undirected
bb9401f9-41b1-4a5d-9b8c-b2ae039c09fe,bbc597dd-dc54-4187-ab2e-9a72f046f0fd,Undirected
bb9401f9-41b1-4a5d-9b8c-b2ae039c09fe,fbcb1038-6ae1-4f35-be9a-633def93da6d,Undirected
2a3e8a48-e484-4f7b-83c7-c221b45c1d76,bb9401f9-41b1-4a5d-9b8c-b2ae039c09fe,Undirected
18f6362f-3d3c-47f3-8999-037b46e58105,bb9401f9-41b1-4a5d-9b8c-b2ae039c09fe,Undirected
8a3b2b5e-af88-4ae7-9a59-7f3d0f84ffaa,bb9401f9-41b1-4a5d-9b8c-b2ae039c09fe,Undirected
19bd8204-61a0-4a53-9d49-6673f293da17,bb9401f9-41b1-4a5d-9b8c-b2ae039c09fe,Undirected
1c644d50-a251-4b14-aa5a-09eb0501083b,bb9401f9-41b1-4a5d-9b8c-b2ae039c09fe,Undirected
56bf2435-46b8-4641-92bf-4fa25d6f325c,60535489-7d75-4686-a578-a42ca0cd1e49,Undirected
60535489-7d75-4686-a578-a42ca0cd1e49,f43ef43d-b2ca-46a5-83ed-8efadefc3532,Undirected
